,Unique_words,Word_Vectors
0,muscles,"[ 0.4010023   0.93483305 -1.157147   -0.6797104  -2.8954906   1.5179443
  1.7000171  -2.433809   -0.56223464  1.5718955  -1.3367035   2.5637875
  0.79856646 -0.6276796  -1.3371361  -1.2972708   0.64709413 -0.97464955
  0.65086     1.9734168   0.6277258   2.325933   -1.5928067  -0.38439706
 -0.8368522  -2.9969761   1.3335276  -0.97850037 -0.25326374  0.34682202
  0.8480828   0.96192354  2.2290542   3.0408683  -0.56023765  3.1453462
 -2.3476086  -0.7879943  -1.2418683  -0.22591437 -1.5477172   0.51472497
 -4.0247264   0.08705091 -0.9546057   0.22252442 -1.035886    0.6494132
 -1.2141763   0.64623076]"
1,body,"[-1.7292352   1.2231269   0.4054192   1.0903883   2.548136   -0.86490136
 -0.8251054  -0.11624351 -0.03234889  2.062463   -0.32859147  0.44177523
 -0.7122201  -1.151799    3.0202522  -2.2068117   0.06954028  0.35886204
  0.79192066  2.816549    0.04382657  0.35069278 -0.278887   -0.51287234
 -0.66752183 -1.1946702   2.7703438   1.416318    0.31043777 -2.4811125
  0.6335355   0.05378402  0.25469613  2.6849868  -1.5355674   0.953653
 -1.7836306   0.94232327 -1.1263455   2.967725    0.78195536 -0.32010975
 -2.7078767  -0.42321962  1.4069289   1.9778869  -3.0654905   0.9521642
 -0.1320263   0.05251152]"
2,pose,"[-0.31411472 -0.41645014 -0.13807209  1.5879607   0.42825004 -0.63962334
 -0.45976982  0.085594   -1.1881666   1.109073    0.2778331   1.1201375
  1.2151506  -0.5491294  -0.77302456 -3.4216864   0.67435205 -0.16881578
 -0.86600286 -0.15666984  0.65577775 -0.30488178 -1.5446291  -0.6131175
 -1.3612025  -1.3385425   1.6543345   0.14672245  1.3448255  -1.23065
  2.4686687  -0.7827953   0.10234471 -1.7008271   0.30982268  0.5509304
  0.0497121   1.6385068   0.6297894   2.2545283   1.257216    0.11158448
 -0.7737812  -0.4888184  -0.8893992   1.9450878   0.65757996  0.14503047
 -1.9277536   0.01925664]"
3,helps,"[-1.718725    0.5594854  -0.4530945   0.34843624 -0.63898253  0.11201882
  0.49933168  0.31122652 -1.7115      1.1512965  -0.8780273  -0.59691465
 -0.9065407  -0.36246228  0.46854302 -0.34125713  1.321237   -1.6105113
  2.421965    1.1969484   0.6643839  -0.23190083  0.4517859   1.3998942
 -0.7016107  -1.5792514   1.8814226   1.4435717   1.7685637  -0.285858
  0.880528    1.9519475   0.40467513 -0.7487038   1.5049212   1.595935
 -1.5313312  -1.8731455   0.8377742   0.035338    1.0024793  -0.33364394
 -0.34134862  0.274586    0.48850244  0.17088814 -0.6456851   1.1979682
 -2.475399    1.0605658 ]"
4,back,"[ 0.5941478   1.0174892  -0.12932374 -1.0917605   0.4094006   0.20685205
  0.802434   -0.91839296  0.32460597  1.2097796  -2.3940399   2.1103108
  2.664009   -1.9739201  -0.65874213 -3.449999    1.8090901  -0.48294133
  0.5508855   0.36869344 -0.70143586  1.5184996  -2.4526663   0.8011826
  1.1229228  -3.1055386   4.629376   -1.6757045  -1.531101    0.61799765
  0.86527854  0.9177271   0.22014941  2.801539   -1.5458351   0.2428398
 -2.4200552  -0.77616245 -0.86127424 -1.8005949  -1.7015209  -0.16851045
 -3.1762807  -1.49565    -1.1477643   1.7762059   0.5408979   0.02388209
 -2.5785553  -0.05826011]"
5,organs,"[ 3.8202543  -1.148789   -0.9636631  -0.81946206 -4.0628386   1.0954734
 -0.00567734 -1.1498452  -0.03536909  0.65615076 -0.7173025  -1.6520821
  2.922591    0.894951   -1.5118191   0.6545304   0.09928731 -1.4369794
  0.685435    3.6885328   0.20914668  4.120931   -0.9331036  -0.6505645
 -1.7944381  -0.57954264  4.15909     1.7687756   0.00504384 -0.05535246
  0.9110337  -0.66680884  1.7713013   3.2018254   3.7389455   3.053014
 -2.5848913  -2.7964303   0.41119558  1.7515426  -0.45389584 -0.07043413
 -0.0785421  -1.4350278  -0.9218243   2.8114657   1.0013632   1.7687128
  0.58216304 -3.4290218 ]"
6,spine,"[-2.3332887   0.4020557   1.6358178  -0.22241093 -0.26366562  0.98724586
  0.67425424 -0.34503514  0.20691371  0.47033152 -2.1483917   2.4220693
  1.7243143  -1.4678217   1.248368   -1.6062629   0.8408508  -2.5625887
  0.66073376  2.2876337  -0.29529205  1.2289358  -0.14652716 -0.08826328
 -3.977525   -3.265737    3.2051003   0.7881714  -0.23601073 -0.34064838
  2.3950458  -0.33450326  0.54753834  4.0066433  -2.0699162   3.2288184
 -0.18682961 -1.9168099  -2.0954683   1.6761645  -0.04526551  1.9094191
 -3.4480965  -1.2780173  -1.1293799   1.3260949   0.5359561   0.17754033
 -1.5792823  -0.5626313 ]"
7,asana,"[ 2.3623435  -1.0127151  -1.3466953  -1.5303248  -0.66926736 -0.30360204
 -0.10147587  0.56389767  0.38184118  1.1341599   0.7565925   0.9474354
  1.7254441  -0.47769865 -0.01037764 -1.0828489   1.7608596   1.2317847
 -0.42691717 -0.4608464   0.2146284   3.8147576  -3.3278372  -1.506098
 -0.85773975 -0.3800599   2.8379004   0.83261955  0.21518813  0.8500478
  0.24638034  0.8982087   2.2526188   2.260527    1.0465491  -0.6932981
  1.3689493  -0.06534185  1.7379004   0.57761556 -1.528917   -0.2887037
 -1.2008724   1.0099318  -0.9474108  -0.75296545 -0.42497116 -2.7609158
 -0.31252176  0.6650138 ]"
8,improves,"[-2.3865461e+00 -1.7665079e+00 -1.5851959e+00  2.8667331e+00
 -6.1807179e-01 -8.0493814e-01 -1.9037740e+00 -2.2455854e+00
 -1.7824314e+00  6.4855582e-01 -2.0307155e+00  2.1228020e+00
  3.5552386e-02  2.1195476e+00 -6.6154921e-01 -1.4964489e+00
 -1.0798082e+00 -2.8658800e+00  2.3739619e+00  2.9135318e+00
 -1.2461327e+00  1.5093255e+00 -2.0302365e+00  2.5574584e+00
 -2.3049607e+00 -8.9113116e-01  3.1032491e-01  1.6206160e+00
 -1.6655799e+00  1.1686760e-01  8.0279015e-02  1.9693789e+00
 -2.3249340e+00  3.9041119e+00  2.0112133e+00  1.5516739e+00
 -1.7086151e+00 -5.0256890e-01 -1.6168101e+00  1.9970605e+00
 -2.6653430e-03  6.6530031e-01 -2.2402987e+00  2.0118246e+00
 -1.2043729e+00 -9.0993321e-01 -2.8314087e+00 -5.6338418e-01
 -1.9906923e-01 -1.7802877e+00]"
9,abdominal,"[ 3.01252     1.96912     3.1396873   1.0156616  -2.0260384   1.9641129
 -2.8212454  -1.7906646   0.06774571 -0.8269833  -0.7310604   2.0997388
  0.20414865 -0.43129027 -0.4836765   2.3064108   0.77042973 -0.5360121
  0.4750534   4.6531277   0.7788806   4.090663   -3.522319    2.9196677
  2.6396818  -2.837255    2.1914804   0.63531286  1.0619904   0.7015905
  0.19640417 -3.0254521   2.2846632   5.4749727   2.058468    3.6304123
 -0.88136625 -0.45874318 -1.8715693  -1.7412376   0.8074364   2.5307467
 -0.26371902 -0.47290146 -0.55032057  0.6741726   2.5394244  -1.1825535
 -0.16108653 -2.4641962 ]"
10,hips,"[ 0.36541048  0.9431771   1.0791919  -0.82056975  0.40226597  1.395496
  1.3224849  -1.0528048   0.68457705  1.76035    -0.09734315  2.1198258
  0.07623132 -1.6233715  -2.9518979  -6.2804666   1.9195206  -0.8240589
 -0.33010578  0.09196826  1.7197423   1.0668621   1.0768085  -0.33617833
 -0.44945037 -3.5393565   1.5798321  -0.4535895   1.9282453   0.5163534
  1.9491158  -1.0382249   0.29320976  2.9196594  -2.2199287   2.0263667
 -0.36579776  0.4699268  -0.9851107  -0.17313933  0.19753078 -0.28278562
 -2.2432702   1.1590523  -0.26970306  2.1017566  -1.1374849   2.627206
 -0.8752548   2.5011683 ]"
11,practice,"[-1.7173481  -0.38913056 -3.140093    0.3121172  -1.2993169  -0.12047251
  1.7983406  -0.58554137 -0.02733979  0.0147456  -0.17178589  3.6973355
  1.4668164  -1.6610171   2.773979   -2.2089474   0.1947002   1.6243336
 -1.5590777   1.0680401   1.160048    0.60167736 -0.37223464  2.8184214
  0.5347917  -0.5911457   1.6356374   1.5971885  -1.362675   -0.6179051
  0.1746833   0.03315593  0.6617168  -3.9485257  -2.974127    0.60258853
 -0.3708922   1.4529022  -1.2833534   2.6631353   3.630954   -1.5302248
 -2.0415719  -1.8326557   1.6251005   1.0085062  -1.228023    0.8394322
 -1.2153273  -1.4744648 ]"
12,shoulders,"[ 1.2910476  -1.085434   -0.04803544 -0.00514374 -0.9575148   3.1181238
  1.270336   -2.6458843   1.7061067   1.6988227  -1.5433546   3.1657498
  0.3614122   0.62249196 -2.4220695  -4.6301417   0.24449565  0.7213223
  1.4196056   0.5329155   0.6720839   0.33766326 -1.2568406  -2.2134786
 -4.2516136  -2.9599612   0.99862427 -2.9555442  -2.488999   -0.13548312
  1.4563588   3.029223   -0.04479363  2.066297   -2.1663547  -1.1339797
 -3.0366182   1.118001   -2.6596823  -0.5200778   2.7789881  -0.19491795
 -0.84602785 -1.7486403  -1.5700437   2.1289911  -2.3934774   0.48575047
 -3.7051427   3.254925  ]"
13,blood,"[ 8.7610644e-01 -3.3918331e+00 -1.9763752e+00 -3.3710492e-01
  4.7705743e-01 -3.5606322e+00 -3.9739499e+00 -1.7691584e+00
  2.7499402e+00  2.3602066e+00 -1.4251548e+00  5.3288120e-01
  4.0744634e+00 -3.1643417e-03  2.6253203e-01 -4.7368583e-01
 -2.1804171e+00 -1.9995888e+00  1.1708456e+00  3.8797393e+00
  1.1913033e+00  3.6416647e+00 -8.4280953e-02  3.3197439e+00
  1.0813464e+00  7.7656776e-01 -1.4498984e+00 -3.6446166e-01
 -5.6338799e-01  1.9199292e-01  3.1711001e+00 -1.4166653e+00
 -1.5169975e+00  4.4259381e+00 -3.1957464e+00 -2.4001218e-01
 -2.1389994e-01 -3.5608308e+00  1.8670354e+00  4.1739883e+00
 -2.3762901e+00  1.9559444e+00 -2.5107086e+00 -3.5856965e-01
 -1.9633769e+00  6.0698062e-01  2.3472667e+00 -2.5923216e+00
 -3.8006005e+00 -3.9123401e-01]"
14,strengthens,"[ 1.5768701  -0.670099    1.3819687  -0.09860096 -1.0641212   1.7120653
  0.22007667 -2.4633586   1.6530503   1.6084436  -0.90242153  1.5637889
  2.2146783  -0.90764886 -4.0490923  -1.8669451   2.2541118  -2.5490627
 -0.423818   -0.31921855 -0.5560849   2.7258222  -1.1597102   0.8290571
 -2.5339673  -3.3580103   0.591191   -2.500164    2.075267    0.7448391
  1.1682667   2.0285017   1.6495488   2.564842    0.4439399   2.731789
 -2.4010704  -3.9569085   0.71842897 -2.7738116  -2.190548    0.7942783
 -0.8615661  -1.3739504  -2.41102    -1.5883931  -1.8919463   0.12004855
  0.08833663 -0.6669648 ]"
15,lower,"[-0.8042133  -0.36483955  2.7378597  -2.016063   -1.6321914   1.6399326
  0.2994742  -0.99034274  0.09654     1.7710391  -2.6151311   1.6571369
  3.6201413  -1.2723137  -0.80177313 -2.0134912  -3.120276   -4.3628736
  1.5635061  -0.23792866 -0.20629859  1.2078264  -0.999947    0.37285972
 -3.5349755  -2.1415877   0.3313999  -0.11640108 -3.2777023   0.36851525
 -0.3302671   0.96938056 -0.9114504   4.150583    0.29583168  2.0302653
 -1.0467315  -1.0250654  -0.35575554 -1.739829   -1.8321817  -1.0454566
 -3.3166199  -1.7131879  -2.2719674   2.2020817   1.6929929   0.59744036
 -1.9632577   2.7505121 ]"
16,also,"[ 0.35365683  0.90493006  0.58370656  0.5134552  -1.7627529   0.21453957
  1.1640861   0.8811287  -0.46356654  0.13648614 -1.7198989   1.2734902
  1.5270402  -1.0675685  -1.1411846   0.9358544  -2.1891663  -0.40767515
  1.3091586   3.4320328   2.871619    0.9027667  -0.0166878   1.0409191
 -1.1547228  -0.50917363  1.6040031   0.6277072   1.9450517   0.66973513
  1.3341633   0.37330428  0.73446923  4.0669036   0.35472497  0.19141914
  0.46101874  0.7207224   0.60234666 -0.596718   -0.5806003   1.5448959
 -0.87671816  1.7968038  -2.5886958   0.87022114 -1.4702798   0.82249063
 -1.1857339  -0.5934889 ]"
17,stretch,"[ 0.6464009   1.2396752  -1.1573164   1.6770201   0.8090655   1.5364804
 -1.7044903  -2.8570414   0.6286      0.45996952 -3.6052287   1.351554
  1.102007   -3.6702769  -2.6852467  -3.0278523  -0.46880895 -1.5914114
 -2.0453436   0.5570281  -2.9969337   1.2832811   0.09394155 -0.77883106
 -4.6079698  -2.323373    2.4719381  -2.223043   -1.4101106  -0.01812072
 -0.17525081  0.8929052   2.504006    1.9025791  -1.1307434   3.3448937
 -2.4231381   0.01387475 -0.45353758  1.3748963  -1.6633295   2.6171227
 -1.3915993  -0.49763656  0.6911139  -0.4520821   0.29574674  1.106532
 -4.941893   -1.2169638 ]"
18,balance,"[ 0.6338827   1.5608859  -3.8612554   3.7439818  -1.006286   -0.02492107
  0.55116695  1.6877732   3.2411385   3.143001    0.6463354  -0.9291604
 -1.4452171  -2.2799115   0.44541797 -1.5430666  -0.54817116 -1.2862939
  2.8567863   2.9415822  -0.66958266 -1.564449   -1.1179658  -1.3542595
 -2.871131   -1.6642011  -1.2970272   0.18956655 -0.2649617   0.5615295
  2.643491    0.14582637  2.482024   -1.8445113  -3.5646698   1.3297057
 -0.03388589  3.4837554  -1.4059051   4.7809243   2.743739    0.85312563
 -2.0459886   0.6832951  -1.0331112  -2.7814965  -3.2770598   0.5760514
  2.4601753   0.92057395]"
19,stretches,"[-0.83061236  0.81829077  0.5694532   0.7952842  -0.7941593  -0.9727753
  0.21556081 -1.3971035   1.2457086  -1.8789787   1.0134562   2.2873628
  3.6932533   0.41195947 -4.4492292  -2.986507   -0.6095598  -5.552537
 -1.2451406   2.4004745   0.826826    0.5963274  -1.266232    1.072767
 -2.3201754  -4.0798364   0.21099094 -0.5776865  -0.37252128 -0.10534131
  2.4090607  -0.406056   -0.5874353   1.5775307   0.33582115  1.209532
 -2.4421828  -2.8949437  -0.0975775  -0.87213063 -2.1601064  -0.6092103
 -3.1813068   2.8215997   0.34234563 -2.9544747  -0.82728815  2.718767
 -0.02988589  1.1977688 ]"
20,system,"[ 2.7273941e+00 -2.8857079e+00  1.7410852e+00  2.9244798e-01
 -1.1641529e+00 -6.4084544e-03 -3.8614733e+00  2.3584840e+00
  3.1108415e+00  3.3054641e-04  3.1474841e+00 -1.3853031e+00
  3.6210275e+00 -3.0619976e-01  1.1963264e+00 -9.9866129e-02
 -1.4343789e-01 -2.3622952e+00  3.3295946e+00  7.6520348e-01
 -2.5248149e-01  3.2235174e+00  1.6316677e+00 -3.8932095e+00
 -2.6784594e+00  1.8181113e+00  3.6765137e+00  3.2305081e+00
  9.2135853e-01  1.8126155e+00 -3.2706518e-02  4.1723013e-01
  3.4845786e+00  1.1118896e+00  4.3052964e+00  2.1822217e+00
 -4.9738207e-01  4.8745424e-01  3.0608974e+00  3.1708734e+00
  1.9678367e+00  4.3433213e-01 -1.3235379e+00  1.4826113e+00
 -2.0202351e+00  1.5084882e+00 -2.3765783e+00  1.7177249e+00
 -1.4179478e+00 -2.0225739e+00]"
21,tones,"[-0.6256891   0.15138441  1.8806096   2.238294   -4.7715397   3.8054352
 -0.1877522  -1.7856228   2.0124683  -0.48487374 -1.1239802   1.9366988
  3.3945477   2.8284054  -5.2661524   0.1475704  -0.9631924  -0.97536814
 -0.46892515  3.507328   -3.00274     1.6630147  -2.1647825   0.14672393
  1.5010333  -0.5765844   2.48338    -0.60320044  1.236341    3.4752994
  3.2234027   1.8736097   2.522008    4.303375   -0.48223215  1.8080584
 -2.6437469  -2.783037    1.4039034   0.17525376 -0.20643772  0.6401237
  1.033304   -0.19678962 -0.56714946 -0.7154148   0.45489624  1.4667772
 -1.3914454  -2.541209  ]"
22,chest,"[ 1.7275337  -1.4034299  -1.1081432  -0.7043654  -3.3855813  -0.97603315
 -0.5958308  -3.0283465   0.9864141   1.1994851   0.23811184  2.4366388
 -0.29792973  2.755741   -2.8740747  -2.3300166  -0.37161502 -2.8175719
 -0.13386527  0.3897324   0.19234106 -0.9706309  -2.530872   -0.07547354
 -1.6478752  -0.5445639   1.6971924   0.01012175 -0.2621103  -1.2812841
  3.4805632   2.2481692   0.6146535   4.350022   -0.592213    3.7194953
 -1.4757603   5.6781454  -3.5419319  -1.230411    0.5169746  -0.6721924
  0.04318695  2.4544694   1.1077292   2.7346132   0.65462863  4.5676465
 -2.772976    4.0099673 ]"
23,good,"[-3.834995   -3.6645412   0.19485284 -0.19106944  0.7824068   1.5400045
  1.1365043  -0.47254458 -2.253786    0.75599253 -0.7488463   2.708799
  2.7336287  -0.8624499  -1.6886204   1.6292471  -1.3703084   0.70035094
 -0.5805933   2.624346    1.5721987   1.9954016  -2.9064312  -1.9820124
  1.033205   -2.7573805   1.2994862   2.1084921   1.2264698  -2.9874961
 -0.8200763   2.4064527  -2.7192252   0.6852418   2.6426501  -0.9400839
 -3.4711547  -4.4231567   4.0095887   1.9231791   2.8188179  -0.05417557
  2.5462565   2.7932892   0.04416106 -2.9022787  -1.913061   -1.7745744
 -3.1287203   2.6276326 ]"
24,flexibility,"[ 2.331281   -2.4239502  -0.5755132  -0.98726916  2.4657547   1.1644518
  0.49744412  1.7492359   3.0529442   0.20216729  0.94305885  3.035262
  1.8921925  -2.1887069  -1.880155   -3.9195452  -0.06587776 -1.8006678
  2.3306475   5.483718   -2.9124289  -1.7846806  -2.2155733  -0.7994113
 -1.6037171  -4.0550575  -1.1949607  -0.85667145 -0.7697532   0.41071272
  1.6260793  -0.03895191  0.46527535  1.0856445  -1.970167    2.2686436
 -1.5414004  -0.954275   -1.0137368  -0.7349044  -0.02624657 -0.01562306
 -3.5100036  -0.3195175  -4.010439   -2.394922    2.4841533  -0.67399275
 -3.6951363   0.45018682]"
25,legs,"[-0.08699606 -0.71317446 -2.8452227  -1.7557609  -4.1492157   0.03125435
 -1.7376275  -1.2755704   2.415489   -1.2745224  -2.9240546   1.5816231
  3.3027747  -0.96154535  2.4829402  -0.75642854  1.7434876   0.13601737
 -3.5405145   1.5322347   2.164555    3.102709   -2.577644   -1.9615122
 -3.2376692  -7.4460726   3.051256   -0.03512979 -1.6391296   3.143437
  0.6150542   4.604047   -4.400207    4.6973763  -1.1679505  -0.35434172
 -2.4480648   1.1244022  -0.771304    0.73768544  0.21304266  0.6458484
 -1.3445967  -0.17595053 -3.1964164   0.09585147  0.18970937 -0.12519264
  1.0266023  -0.18828478]"
26,abdomen,"[-0.52065414  1.5443338  -1.2996684  -2.768672    0.9426874   2.17934
 -2.9812994  -4.698451   -2.8019264  -1.7318273  -1.6567589   4.292234
 -1.2020645  -5.2653     -0.8311214   1.6908855   0.77406245  0.7164928
  2.0608747   2.9750955  -0.5103553   2.1421976  -2.0007725   0.09084117
  0.4699628  -3.7599325   1.2306494  -2.951785   -0.2269859   2.9099672
  2.57959    -1.2731773   2.003778    5.291792    2.7345858   5.2838235
 -6.4162602  -1.6158563   1.2722186  -2.847973    0.0323438  -0.09450804
 -3.6444035   2.7060564  -2.0277052   0.06104352 -0.10383163  0.8567292
 -0.77032536 -2.1156743 ]"
27,neck,"[ 2.8664052   2.2638798  -2.018923   -2.2053065   2.1362793  -1.7725371
 -0.05511916 -0.64409417  0.3574612  -0.11895507 -0.2589556   3.2478633
  3.5520167  -0.51085496 -2.8154585  -3.755959    0.7113592  -0.48311216
  0.8669386   3.0087242  -2.5973055   0.22008537 -1.9169399  -0.06079661
 -2.0685823  -3.5875137   2.0459762  -0.9208102  -3.0157013  -0.23840766
 -0.4850659   3.286877    1.2536272   4.3018446  -2.1487057   0.7983809
 -1.4403263   1.1681657  -1.5675212  -0.56958365 -1.6229638  -0.21711127
  0.8760489  -1.1177561  -5.887306    3.423246    0.38020417 -1.0943866
 -1.2780823   3.7260363 ]"
28,arms,"[ 2.1031616  -2.1457038  -0.80811113 -1.5436776   0.6332689  -1.6879817
  3.4582942  -3.8498268   0.61770314 -1.7311403  -3.2688937   5.7074156
 -1.169681   -0.5939169  -1.5485736  -4.9298816   4.712704   -6.49328
  2.7087364   4.49943     1.7143184   1.9419571  -0.22545397  1.8844585
 -1.9967136  -0.63155156  0.23866346 -2.5694652  -0.12055093 -3.5665832
  1.3540345   0.24999805 -1.433353    2.5549498  -3.5048766   0.00774547
 -2.7387989   2.902489   -3.1065853  -1.0161905  -0.03598411  1.1618325
 -1.6039298   1.0577955  -0.08782221  1.1620888  -1.0926065   1.3922495
 -0.8710587   1.8474807 ]"
29,posture,"[ 2.1798499   4.6000595  -0.5836423   1.569221    1.6657934  -3.4766378
  2.5330536  -0.8008992   2.1287603   2.1298544   0.8341077  -1.8200957
 -1.2129107  -0.03392582  2.0256522  -2.3162954   0.79856414 -1.6000792
  0.07817528  2.737289   -1.4922391  -0.9209081  -0.53123254  0.8620072
 -1.4330866  -0.64355135  0.82200706 -1.3197571  -1.3014116  -4.485082
  2.1841667  -1.348124   -0.3399513   3.4343004  -0.41666502  1.4097927
  0.8594676  -0.47017342 -0.94933313  5.3075476  -0.55693805 -1.2383331
 -1.7379118   1.6836369  -3.345331    1.7407075   0.94014025  1.7725852
 -1.7950662   1.6888357 ]"
30,mind,"[-0.41481665 -0.7893435   0.69921     5.4208517  -1.5105879   3.0287058
 -5.3457494  -3.314393    0.49100992  2.9568906  -0.89259684 -4.2707934
 -2.9207778   3.4521325   0.29516608 -0.99003786 -0.55031383  2.550483
  2.9138892   0.7869837   1.7459799  -1.1283003   0.38138855 -2.931435
 -3.8902695  -2.0658453  -0.72733897  3.005179   -2.5851843  -4.5370474
  0.12500641 -0.29427275  1.2917209  -0.65636677 -3.8642364  -1.0473952
  5.4843984  -1.8679466  -1.9434319   5.308727    3.9461575  -1.791776
 -1.924557   -0.08550587 -1.6184227   3.054051    0.8242074  -4.90843
 -2.3448412   0.58995706]"
31,flow,"[-0.9484892  -4.544548    1.2636828   5.106486    2.146201   -2.8771646
 -3.5652606  -0.70546156  2.8546894   1.2562019  -2.7098162  -2.411234
  1.303544    1.522098    2.6034923  -5.2402215  -0.75813967  0.46953467
  0.00626038  4.024657   -2.3934383   3.8441176  -0.41073355 -0.02181362
 -2.3118527   3.9297693  -4.0361753   1.4152243  -1.3206862  -3.212204
  1.7180871  -1.4917024  -1.2583808   2.6686125  -4.5297866   0.49802354
 -3.2953246  -3.8616846   1.468185    2.33342    -1.8051916  -0.7720389
 -3.1752017  -1.4932835  -0.1261697   2.50883     4.5071764   1.7147076
 -0.6586179  -2.020556  ]"
32,nervous,"[ 2.6989594  -2.9066377   3.799348    6.358938    3.638517    2.6361277
 -5.596828    1.3251876   2.0569565   2.8910956  -1.3526933  -1.1686424
 -1.4800699   0.933309   -1.9675145   2.1636395  -1.6221199  -1.196571
  2.587411   -2.368566    2.0377805   3.3384733   0.66723996  3.4934359
  0.30250275  2.1303732   6.6945357   2.2326016   1.873671   -0.9812131
 -0.17317593 -0.15122393  4.0761604   5.288254    2.9729517   0.6307684
  2.2447307  -1.71071    -2.400048    1.354224    1.0917108   0.10495386
 -3.5761528   3.0670087  -1.1476634   1.8122027  -3.098897    0.00831536
  1.6721017  -0.1438542 ]"
33,yoga,"[-0.36626047 -2.8394852   3.100802    6.11883     1.8668606   1.9441062
 -2.7751231  -1.9682974  -5.5149655   1.5119412   2.1299534   3.747417
 -3.6171746  -0.08149     2.8384058   2.2360926  -2.5214124   1.8787757
  2.275056   -2.9442747   1.269986   -0.04254673 -2.9453154   4.169785
 -0.6259099  -3.2727818   3.1640677  -0.87492085  0.05491488  2.3726897
 -1.0793972  -3.6569207  -0.11562122 -5.8035865  -1.6838431  -1.1998193
 -1.5280744   1.7402775  -0.8636402  -1.5101942   1.2554268   1.7577095
 -2.1148353   1.5662681  -1.6813096   0.9320163  -3.158113   -1.1437112
  1.7560703  -2.4804075 ]"
34,thus,"[ 2.0330014   4.7699323   2.0487425   3.0763168   0.39845833 -1.4205812
  1.5041466  -4.2136583  -2.2979069  -1.2075219  -1.0075771   1.79891
 -0.33379278 -0.56150866  2.606549   -2.1952653  -5.0469084  -5.4533763
  3.7967153   2.7635167  -0.41552916  0.8834465   2.4245272   1.2712435
 -3.014004   -2.6062624  -2.2411518  -0.95374596  1.055607   -3.3975732
  0.79812586 -3.9413583  -1.6559378   3.6520472   5.074971    4.1917973
 -1.7765895   0.71219957 -1.6865852   0.8114621  -0.16819167 -1.3589225
 -2.3098633   2.0825703   1.460015    0.25565612 -0.92853373  0.09911191
 -0.2218086  -1.1235826 ]"
35,reproductive,"[ 0.3361336   0.7346167   3.6441092  -3.038765    0.83726573  3.4859884
 -0.12961024  1.7014931   1.4344015  -0.07625443 -4.358912   -3.788794
 -3.78298     2.226839    0.35435084  0.15825823 -2.406284   -1.17238
  2.369825    1.8957447   0.07427748  4.9986863  -2.3907514   3.324276
  2.2420473   0.3598036   1.557562    3.9991412  -1.2675829   1.5718198
  3.4969852  -0.6026052   3.116325    0.93982893  7.5673847   4.2357435
 -2.5274014  -2.4044778   1.6485034   1.2499703   0.42036673  2.2581854
 -0.38746125 -1.839632   -2.315324    2.196436    4.219156   -5.3779616
  0.32897392 -4.787967  ]"
